"Add_link","Title","Address","Price","Dwelling_Type","Bedrooms","Bathrooms","Lease","Date_Available","Post_Date","House_Size","Furnished","Description","Pet_Friendly","city","More Info1","Picture 1"
"https://www.rentfaster.ca/bc/kelowna/rentals/apartment/1-bedroom/480831?-RSYNC"," "," 1229 Richter Street,Kelowna,Canada,British Columbia,V1Y2K8,","1,960","Apartment",1,"1"," ","Not Available"," "," ","No","Visit our Website: https://www.capreit.ca/apartments-for-rent/kelowna-bc/proxima/

This newer building has gorgeous curb appeal and the shared spaces available to residents in Proxima truly make this the Best Place to Live.

Rooftop patio with BBQs, picnic area, fire pit, and landscaping
Shared kitchenette space
Fully equipped fitness centre
Underground parking
Bicycle racks for storage

 

 

What's included in your rent

Laundry, Water

Have Questions? Contact the Property Manager: (250) 869-2563","No","Kelowna","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y4SI17GDdQVEsWoBOlFu9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.1129&pitch=0&thumbfov=100"
"https://www.rentfaster.ca/bc/west-kelowna/rentals/apartment/2-bedrooms/pet-friendly/441403?-RSYNC"," "," 3500 Sonoma Pines Drive,West Kelowna,Canada,British Columbia,V4T0B8,","2,148","Apartment",2,"2"," ","Not Available"," "," ","No","OPEN HOUSE: Friday, October 7th from 12pm - 5pm & Saturday, October 8th from 10am - 3pm.

Broadstreet’s Lakeview Ridge offers 1, 2, and 3 bedroom pet friendly apartments for rent in West Kelowna. Inside your spacious, open-concept apartment you’ll feel at home with in-suite laundry, large walk-in closets, and an exterior patio space to enjoy outdoor living. At Lakeview Ridge you can bring your four-legged friends to the on-site dog run, then enjoy a bath in the dog wash. Sustainable living is realized at Lakeview Ridge with electric vehicle charging stations on site and Broadstreet’s convenient community gardens, bringing the farm-to-table experience right to your home. This community is ready for you to call home.

This modern rental apartment community is located in Westbank along the Okanagan Hwy. You will find amenities such as grocery stores, shopping, and restaurants for your daily needs. Nearby, you can enjoy Johnson Bentley Aquatic Centre, Landmark Cinemas, and Westbank Museum for entertainment. At Lakeview Ridge you can be at home while conveniently close to the best amenities West Kelowna has to offer with mountain biking to water skiing, and winery tours to boutique shopping.

Contact us today!




Shopping – Wal-Mart | Superstore | Home Depot

Parks – Eleanor Reece Memorial Park

Public Transportation Access","No","Kelowna","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wFkGlFjJqXXG22Et9KRGtQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.01852&pitch=0&thumbfov=100"
"https://www.rentfaster.ca/bc/kelowna/rentals/townhouse/3-bedrooms/501381"," ","Kelowna","2,900","Apartment",2,"2"," ","Not Available"," "," ","No","This brand new, beautiful three-storey townhouse with nearly 1,400 square feet of living space house is at walking distance to UBC Okanagan and 15 minutes driving to downtown Kelowna. A great place to live, work, and study.

The townhouse has 3 bedrooms with large windows and 2.5 bathrooms. The first floor has a spacious two-car tandem garage. The second floor has a huge living room, a dining room, a half bath, and an open-concept kitchen with custom-made cabinets, quartz counter tops, and stainless steel appliances. Luxury vinyl plank floor throughout the entire second floor. A balcony is perfect for you to enjoy a tea time or read a book. The third floor has a large master bedroom with an ensuite full bath, two bedrooms, another full bath, and stacked washer and dryer.

No smoking, no pets

Please contact me if interested.

Thanks!","No","Kelowna","Please contact the Landlord to confirm availability","https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/501381/8249742.v.06d0b565c26f7022af75fe70a16f21f2.jpg"
"https://www.rentfaster.ca/bc/west-kelowna/rentals/apartment/2-bedrooms/478003?-RSYNC"," "," 3623 Elliot Road,West Kelowna,Canada,British Columbia,V4T1P8,","2,070","Apartment",2,"1"," ","Not Available"," "," ","No","Visit our Website: https://www.capreit.ca/apartments-for-rent/west-kelowna-bc/lakeview-pointe/

Situated in bustling West Kelowna, Lakeview Pointe is a brand new building with a strong sense of community and full suite of amenities, providing the perfect location for your next home:

Small to medium-sized pets are welcome and will enjoy sunbathing in the living room
Enjoy the spacious fitness centre equipped with treadmills, exercise bikes, ellipticals, full home gym, and free weights to help you meet your fitness goals
Relax in the steam room after a hard workout or long day
Spend some time getting to know your neighbors or hanging out with your friends in the community lounge and games room which includes both billiard and foosball tables
Grab some popcorn and watch a movie (or your favorite team play) with full surround sound and comfortable leather chairs in the theatre room
With a Starbucks coffee station in the main lobby, you won't have to leave your building to get your favorite drink
Collaborate or find a quiet place to work in the business centre boasting natural light with large windows
Underground parking equipped with electric vehicle charging stations provide convenience for our environmentally conscious residents
Keyless entry and on-site management help to keep the buildings secure and safe for residents

 

Have Questions? Contact the Property Manager: (236) 260-5577","No","West Kelowna","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uwkf7yFMOAZf_Z_irNdK-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=78.81491&pitch=0&thumbfov=100"
"https://www.rentfaster.ca/bc/kelowna/rentals/apartment/1-bedroom/480831?-RSYNC"," "," 1229 Richter Street,Kelowna,Canada,British Columbia,V1Y2K8,","1,960","Apartment",1,"1"," ","Not Available"," "," ","No","Visit our Website: https://www.capreit.ca/apartments-for-rent/kelowna-bc/proxima/

This newer building has gorgeous curb appeal and the shared spaces available to residents in Proxima truly make this the Best Place to Live.

Rooftop patio with BBQs, picnic area, fire pit, and landscaping
Shared kitchenette space
Fully equipped fitness centre
Underground parking
Bicycle racks for storage

 

 

What's included in your rent

Laundry, Water

Have Questions? Contact the Property Manager: (250) 869-2563","No","West Kelowna","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y4SI17GDdQVEsWoBOlFu9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.1129&pitch=0&thumbfov=100"
"https://www.rentfaster.ca/bc/west-kelowna/rentals/apartment/2-bedrooms/pet-friendly/441403?-RSYNC"," "," 3500 Sonoma Pines Drive,West Kelowna,Canada,British Columbia,V4T0B8,","2,148","Apartment",2,"2"," ","Not Available"," "," ","No","OPEN HOUSE: Friday, October 7th from 12pm - 5pm & Saturday, October 8th from 10am - 3pm.

Broadstreet’s Lakeview Ridge offers 1, 2, and 3 bedroom pet friendly apartments for rent in West Kelowna. Inside your spacious, open-concept apartment you’ll feel at home with in-suite laundry, large walk-in closets, and an exterior patio space to enjoy outdoor living. At Lakeview Ridge you can bring your four-legged friends to the on-site dog run, then enjoy a bath in the dog wash. Sustainable living is realized at Lakeview Ridge with electric vehicle charging stations on site and Broadstreet’s convenient community gardens, bringing the farm-to-table experience right to your home. This community is ready for you to call home.

This modern rental apartment community is located in Westbank along the Okanagan Hwy. You will find amenities such as grocery stores, shopping, and restaurants for your daily needs. Nearby, you can enjoy Johnson Bentley Aquatic Centre, Landmark Cinemas, and Westbank Museum for entertainment. At Lakeview Ridge you can be at home while conveniently close to the best amenities West Kelowna has to offer with mountain biking to water skiing, and winery tours to boutique shopping.

Contact us today!




Shopping – Wal-Mart | Superstore | Home Depot

Parks – Eleanor Reece Memorial Park

Public Transportation Access","No","West Kelowna","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wFkGlFjJqXXG22Et9KRGtQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.01852&pitch=0&thumbfov=100"
"https://www.rentfaster.ca/bc/penticton/rentals/apartment/2-bedrooms/369497?-RSYNC"," "," 973 Forestbrook Drive,Penticton,Canada,British Columbia,V2A2G2,","1,650","Apartment",1,"1"," ","Not Available"," "," ","No","Pacific Cove Property Management Ltd. 

Overlooking the picturesque Penticton Creek to the north, Forestbrook Manor is located on quiet Forestbrook Drive in the heart of beautiful Penticton BC, walking distance from all the necessary amenities on nearby Government Street including Marketplace IGA. Forestbrook also sits on the Number 2 bus route, and is a direct 10-minute bus ride or 25-minute walk from Penticton's quaint and historic downtown and the beautiful beaches of Okanagan Lake.

Forestbrook Manor features one- and two-bedroom suites with well-equipped kitchens, spacious in-suite storage, and large balconies. For the comfort of all residents, Forestbrook Manor is a smoke-free and pet-free building.

If you are interested in a suite that is currently unavailable, please reach out and contact us, and we will add you to our waitlist! 

The above information, while deemed to be correct, is not guaranteed. Rental prices, availability  and information contained herein are subject to change at any time and without notice at the discretion of Pacific Cove Properties.","No","Penticton","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jAmK8CvzFjmXdV1Vs9cicA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.37433&pitch=0&thumbfov=100"
"https://www.rentfaster.ca/bc/penticton/rentals/apartment/1-bedroom/pet-friendly/329961?-RSYNC"," "," 175 Kinney Avenue,Penticton,Canada,British Columbia,V2A3P2,","2,068","Apartment",2,"2"," ","Not Available"," "," ","No","Broadstreet's Valley Views offers 1, 2, and 3 bedroom pet friendly apartments for rent with picturesque orchard and mountain views. This modern rental apartment community sits in the heart of the adventurous waterfront city of Penticton-between the stunning blue waters of Okanagan Lake and Skaha Lake.

Valley Views is centrally located and only minutes away from Cherry Lane Shopping Centre, lush parks, excellent schools, golf courses, and the downtown core. Inside your spacious, open-concept apartment, you'll feel at home with in-suite laundry, large walk-in closets, and built-in air conditioning to keep you cool during hot summer months. With nearby world-class mountain biking, water sports galore, and a plethora of wineries-Valley Views offers the best location to explore in Penticton. Living at Valley Views means enjoying all the friendliness of a small community and some of the best apartment-style living in the city.

Contact us today!




Shopping – Cherry Lane Shopping | Superstore | Save-On Foods

Parks – Skaha Lake Park

Schools – Parkway Elementary | Sprott Shaw College","No","Penticton","Please contact the Landlord to confirm availability","https://www.google.com/maps/vt/pb=!1m5!1m4!1i12!2i6151!3i3539!4i128!2m2!1e1!3i931!3m9!2sbn!3sbd!5e1105!12m1!1e4!12m1!1e47!12m1!1e3!4e0!5m1!1e0!23i10203575!23i1381033!23i1368782!23i1368785!23i47025228!23i4592408!23i1375050!23i4536287"
"https://www.rentfaster.ca/bc/penticton/rentals/apartment/1-bedroom/pet-friendly/305815?-RSYNC"," "," 151 Duncan Ave W,Penticton,Canada,British Columbia,V9W4C4,","2,278","Apartment",2,"2"," ","Not Available"," "," ","No","Broadstreet's Ridgecrest Place offers 1, 2, and 3 bedroom pet friendly apartments for rent in the budding community of Penticton. This modern rental apartment community boasts beautiful mountain views to the west, and sits just one block from Penticton Plaza and the local YMCA. It is centrally located and only minutes away from Skaha Lake, Okanagan Lake, and the Penticton Regional Airport. Students attending Okanagan College can make it home to Ridgecrest Place in less than 5 minutes via Duncan Ave and commuters have quick access to Highway 97.

Inside your spacious, open-concept apartment you'll feel at home with in-suite laundry and large walk-in closets. You can also experience peace of mind with flexible rental agreements and exclusive perks like covered parking! At Ridgecrest Place, you can bring your four-legged friends to the on-site dog run, or simply take them to enjoy the trails and scenery of nearby Munson Mountain Park. An extension of the Kettle Valley Trail runs parallel to the property, providing convenient walking and cycling connections to other parts of the region. Living at Ridgecrest means enjoying all the friendliness of a small community and some of the best apartment living in Penticton.

Contact us today!




Shopping – Whole Foods | Safeway | IGA

Parks – Munson Mountain Park | Kettle Valley Trail

Schools – Holy Cross Elementary School | Carmi Elementary","No","Penticton","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UtG6yxcQTZwXsszxTPiGRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.07852&pitch=0&thumbfov=100"
"https://www.rentfaster.ca/bc/penticton/rentals/apartment/2-bedrooms/pet-friendly/440339?-RSYNC"," "," 3650 South Main Street,Penticton,Canada,British Columbia,V2A5J8,","1,929","Apartment",1,"2"," ","Not Available"," "," ","No","Feel good, live well at our Skaha Shores rental community in Penticton. Be a part of a larger movement to reduce our environmental impact by joining our net-zero energy ready community.

Only 100 meters from the beach and down the road from Skaha Bluffs, you can live your best life, stress-free. Enjoy meeting your neighbours on the rooftop patio, get some fresh air in the Community Garden, and feel healthy in our fitness centre.

We're only a call away, so join us today! 

SKAHA SHORES HIGHLIGHTS

• Net-zero energy ready community (it's good for the planet)

• BUILT GREEN®, rooftop solar array, and electric car charging stations.

• Smoke-free community with on-site staff.

• Pet-friendly homes, complete with a fenced dog run. Maximum 22 inches shoulder height, some breed restrictions apply. Please inquire for details. 

• Individual in-suite heat and A/C controls for optimal comfort. 

• BBQ year-round with a covered deck.

• In-suite laundry and open-concept kitchens.

• Book the community lounge, with kitchenette, for larger get-togethers.

• Exercise in our complimentary fitness room.

• Grow fruits and veggies in our robust community garden.

THE PERKS

• Complimentary fitness room.

• Telus incentives.

CONTACT US

P. 778-860-5211
Email us @ Skaha Shores
Visit us Skaha Shores Website
A: 3650 South Main Street, Penticton, BC, V2A 5J8

Please visit our website for more information, to book a viewing, and apply online.

A Community Designed, Developed, and Operated by Highstreet Ventures

Prices listed are starting prices and vary depending on availability, suite types, and location in the buildings. Additional charges may apply.","No","Penticton","Please contact the Landlord to confirm availability","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GBb8RLKpSdDy44HtdAQNYQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.59801&pitch=0&thumbfov=100"
